District,Male_Owned_Agent_Total,Female_Owned_Agent_Total,Other_Agent_Total,Total_Agents,Male_Account_Total,Female_Account_Total,Other_AccountTotal,Total_Account,Gender_Gap,Population_2022,Protion_Total_Acc_Population_2022
Comilla,18966,551,1,19518,1931926,1976631,1505,3910062,-2.31,6212216,0.63
Feni,7049,98,0,7147,619127,551892,573,1171592,10.86,1648896,0.71
Brahamanbaria,9879,642,7,10528,940871,942657,777,1884305,-0.19,3306559,0.57
Rangamati,1715,67,0,1782,237876,223410,167,461453,6.08,647587,0.71
Noakhali,10862,262,1,11125,1257928,1118196,1524,2377648,11.11,3625252,0.66
Chandpur,8953,271,0,9224,1070438,1105362,1065,2176865,-3.26,2635748,0.83
Lakshmipur,7099,116,1,7216,728705,722042,732,1451479,0.91,1938111,0.75
Chittagong,37635,517,20,38172,3347085,3046573,2522,6396180,8.98,9169464,0.7
Coxsbazar,7491,95,1,7587,804815,763236,704,1568755,5.17,2823265,0.56
Khagrachhori,1849,51,0,1900,252255,233986,697,486938,7.24,714119,0.68
Bandarban,1405,18,0,1423,178815,167581,161,346557,6.28,481109,0.72
Sirajganj,9222,179,0,9401,1270728,1099478,748,2370954,13.48,3357708,0.71
Pabna,8175,250,0,8425,1138546,977787,554,2116887,14.12,2909622,0.73
Bogra,10807,263,0,11070,1672407,1676006,751,3349164,-0.22,3734300,0.9
Rajshahi,10378,230,5,10613,1206417,963639,446,2170502,20.12,2915013,0.74
Natore,5489,94,0,5583,938379,904697,6080,1849156,3.59,1859921,0.99
Joypurhat,3376,53,0,3429,482194,439343,221,921758,8.89,956430,0.96
Nawabganj,5401,86,0,5487,660585,614654,303,1275542,6.95,1835527,0.69
Naogaon,7338,127,0,7465,1167334,1011541,639,2179514,13.35,2784598,0.78
Jessore,10392,249,1,10642,1243612,1126096,598,2370306,9.45,3076849,0.77
Satkhira,5954,133,0,6087,1007775,978949,516,1987240,2.86,2196581,0.9
Meherpur,2213,69,0,2282,298074,318052,123,616249,-6.7,705356,0.87
Narail,2250,71,0,2321,304453,293345,129,597927,3.65,788673,0.76
Chuadanga,3799,80,1,3880,584482,605102,379,1189963,-3.53,1234066,0.96
Kushtia,6477,164,1,6642,944274,944724,537,1889535,-0.05,2149692,0.88
Magura,3128,41,0,3169,467495,400766,202,868463,14.27,1033115,0.84
Khulna,8743,263,1,9007,1145235,1146878,497,2292610,-0.14,2613385,0.88
Bagerhat,4401,69,0,4470,729707,664649,326,1394682,8.92,1613079,0.86
Jhenaidah,6495,83,0,6578,780407,651939,649,1432995,16.46,2005849,0.71
Jhalokati,2161,65,0,2226,298997,297722,157,596876,0.43,661161,0.9
Patuakhali,4327,75,0,4402,658304,594868,689,1253861,9.64,1727254,0.73
Pirojpur,3924,112,0,4036,529209,526979,365,1056553,0.42,1198193,0.88
Barisal,8411,174,0,8585,992054,932306,617,1924977,6.02,2570450,0.75
Bhola,6339,38,1,6378,745386,591134,783,1337303,20.69,1932514,0.69
Barguna,2733,65,0,2798,606044,524791,304,1131139,13.41,1010530,1.12
Sylhet,11209,119,3,11331,1242952,1086366,1273,2330591,12.6,3857037,0.6
Maulvibazar,5625,69,1,5695,760434,746875,2242,1509551,1.78,2123445,0.71
Habiganj,6955,178,0,7133,753560,696072,924,1450556,7.63,2358886,0.61
Sunamganj,5846,78,1,5925,800571,691562,2065,1494198,13.62,2695495,0.55
Narsingdi,10115,572,1,10688,851426,825851,807,1678084,3.0,2584452,0.65
Gazipur,31345,839,0,32184,3286838,2110493,871,5398202,35.79,5263474,1.03
Shariatpur,3865,90,0,3955,413059,418332,438,831829,-1.28,1294561,0.64
Narayanganj,15278,402,0,15680,1540935,1317559,1443,2859937,14.5,3909138,0.73
Tangail,13121,407,4,13532,1499972,1455146,1005,2956123,2.99,4037608,0.73
Kishoreganj,9369,174,0,9543,1082839,992699,749,2076287,8.32,3267630,0.64
Manikganj,5463,146,0,5609,561968,518796,486,1081250,7.68,1558024,0.69
Dhaka,75707,2412,14,78133,8259737,5886630,3352,14149719,28.73,14734025,0.96
Munshiganj,4733,214,0,4947,504433,518776,330,1023539,-2.84,1625418,0.63
Rajbari,3279,66,1,3346,472169,475668,289,948126,-0.74,1189821,0.8
Madaripur,4139,131,0,4270,458093,498708,375,957176,-8.87,1293027,0.74
Gopalganj,3262,93,0,3355,432560,431443,236,864239,0.26,1295053,0.67
Faridpur,5830,185,0,6015,760133,769081,463,1529677,-1.18,2162876,0.71
Panchagarh,4128,125,0,4253,534847,366688,210,901745,31.44,1179843,0.76
Dinajpur,10830,282,1,11113,1471112,1230775,526,2702413,16.34,3315238,0.82
Lalmonirhat,5308,92,0,5400,629210,587892,362,1217464,6.57,1428406,0.85
Nilphamari,6687,130,0,6817,982392,958948,554,1941894,2.39,2092567,0.93
Gaibandha,8136,262,3,8401,1126453,1203636,625,2330714,-6.85,2562232,0.91
Thakurgaon,5277,149,2,5428,834523,665624,359,1500506,20.24,1533894,0.98
Rangpur,11634,362,0,11996,1333959,1259740,580,2594279,5.56,3169615,0.82
Kurigram,8802,207,0,9009,1022749,1072466,729,2095944,-4.86,2329161,0.9
Sherpur,4216,69,0,4285,712517,722800,508,1435825,-1.44,1501853,0.96
Mymensingh,18811,369,3,19183,2208317,2077697,2370,4288384,5.91,5899052,0.73
Jamalpur,7974,289,0,8263,977342,997243,654,1975239,-2.04,2499737,0.79
Netrakona,6757,189,0,6946,1039576,985651,1030,2026257,5.19,2324856,0.87
